"hoursslept","6.8400000000000007"
"onsetlatency","2066.3829787234044"
"alarm","3.382978723404255"
"waketime","09:01:17"
"days_with_alarms","46"
"alarm_rings","3.4565217391304346"
"bedtime","01:13:26"
"more_than_1_alarm_per_day","yes"
"awakeningsPerHour","2.6487183441221291"
"noisiness","0.12783221357446808"
